XYZ (105953 points)
125.194 30.812 57.748
125.291 30.792 61.330
125.389 30.770 65.017
125.489 30.745 69.270
125.590 30.718 79.336
125.693 30.688 67.519
125.798 30.655 70.758
125.904 30.618 74.177
126.011 30.577 78.158
126.120 30.535 76.662
126.231 30.485 82.659
126.339 30.429 81.021
126.449 30.370 76.860
126.559 30.304 82.323
126.668 30.232 93.764
126.775 30.152 101.151
126.879 30.063 145.539
126.978 29.966 107.148
127.078 29.882 106.631
127.147 29.769 110.864
127.230 29.648 124.002
127.305 29.516 144.657
127.371 29.376 297.397
127.427 29.229 677.252
127.475 29.075 994.146
127.513 28.916 1008.277
127.544 28.752 1044.386
127.568 28.584 1155.125
127.586 28.412 1040.950
127.598 28.236 1201.652
127.604 28.058 1184.990
127.605 27.876 1125.838
127.600 27.692 1044.233
127.591 27.505 791.986
127.576 27.315 565.016
127.557 27.123 824.453
127.532 26.929 724.799
127.501 26.733 599.732
127.464 26.535 545.126
127.421 26.335 708.375
127.373 26.134 45.337
127.318 25.931 303.211
127.256 25.727 1495.956
127.188 25.520 1664.637
127.094 25.303 1875.467
127.019 25.076 1936.034
126.930 24.868 1726.867
126.835 24.663 1985.293
126.735 24.460 1865.752
126.628 24.255 2738.922
126.514 24.052 4008.281
126.400 23.851 5952.028
126.281 23.647 6767.047
126.156 23.446 6716.242
126.032 23.245 6388.659
125.890 23.083 5779.539
125.798 22.887 5672.565
125.661 22.688 5816.581
125.522 22.486 5945.921
125.379 22.287 5165.750
125.232 22.081 4846.386
125.088 21.876 5579.517
124.935 21.670 5268.158
124.754 21.461 4999.364
124.594 21.233 5388.734
124.427 21.029 5950.002
124.254 20.829 5739.499
124.080 20.630 5494.297
123.899 20.428 5503.020
123.711 20.230 5489.440
123.514 20.036 5269.561
123.306 19.846 5201.670
123.090 19.669 5071.961
122.877 19.540 4861.202
122.640 19.624 3022.327
122.452 19.432 3560.812
122.138 19.284 2295.552
121.814 19.348 1694.843
121.524 19.124 894.343
121.207 18.829 296.084
120.863 18.469 635.668
121.723 30.829 6.840
121.738 30.804 7.000
121.755 30.780 7.000
121.767 30.755 8.000
121.776 30.730 8.000
121.795 30.707 8.000
121.824 30.710 8.000
121.853 30.713 8.000
121.881 30.718 8.671
121.910 30.724 8.000
121.938 30.730 8.000
121.967 30.738 8.000
121.707 30.854 2.574
121.995 30.745 7.787
122.024 30.753 7.000
122.054 30.760 7.000
122.084 30.767 7.000
122.114 30.774 7.000
122.145 30.781 7.000
122.177 30.787 8.960
122.209 30.793 8.000
122.241 30.800 8.471
122.275 30.805 8.423
122.309 30.811 10.094
122.343 30.816 10.604
122.378 30.822 11.442
122.414 30.827 11.880
122.451 30.832 12.146
122.488 30.836 14.873
122.526 30.840 18.391
122.565 30.844 22.491
122.605 30.848 19.618
122.646 30.851 31.916
122.687 30.854 14.088
122.729 30.857 26.645
122.773 30.860 21.291
122.817 30.862 23.670
122.862 30.865 27.976
122.908 30.866 33.370
122.955 30.869 38.089
122.997 30.864 44.371
123.042 30.871 44.026
123.091 30.871 46.333
123.142 30.872 52.071
123.194 30.872 54.479
123.248 30.872 56.000
123.302 30.872 56.131
123.358 30.872 52.692
123.415 30.871 55.830
123.473 30.871 55.992
123.532 30.871 58.000
123.593 30.870 51.781
123.655 30.870 53.727
123.718 30.870 56.538
123.784 30.870 62.000
123.857 30.865 53.152
123.930 30.868 54.516
124.001 30.866 51.459
124.072 30.864 43.305
124.144 30.861 39.846
124.218 30.857 47.642
124.294 30.852 53.756
124.371 30.847 57.000
